City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jamestown,42.097,-79.2353,13.77,80,100,5.66,US,1686614226
84,ancud,-41.8697,-73.8203,5.43,86,9,1.97,CL,1686614226
85,vilyuchinsk,52.9306,158.4028,22.15,49,0,2.28,RU,1686613973
86,pemangkat,1.1667,108.9667,26.7,82,93,2.14,ID,1686614226
87,novodvinsk,64.4165,40.8122,13.34,57,91,4.07,RU,1686614227
88,trairi,-3.2778,-39.2689,25.41,83,3,4.23,BR,1686614146
89,belyy yar,53.6039,91.3903,12.94,88,0,0.0,RU,1686614227
90,selfoss,63.9331,-20.9971,7.8,79,31,2.64,IS,1686614227
91,agua prieta,31.3,-109.5667,30.44,8,0,9.77,MX,1686614228
92,bredasdorp,-34.5322,20.0403,13.46,69,100,10.78,ZA,1686614228
93,sierakowice,54.3461,17.8925,13.62,74,91,3.88,PL,1686614228
94,i-n-salah,27.1935,2.4607,34.81,8,0,4.44,DZ,1686614228
95,chernomorskoye,45.5039,32.6997,17.2,90,63,2.89,UA,1686614229
96,verkhniye kigi,55.4083,58.6044,3.69,78,53,1.85,RU,1686614229
97,namtsy,62.7161,129.6658,9.43,52,99,2.46,RU,1686614229
98,arraial do cabo,-22.9661,-42.0278,19.98,100,40,1.03,BR,1686614230
99,grand falls-windsor,48.9332,-55.6649,10.84,85,100,0.89,CA,1686614230
100,thakhek,17.4103,104.8307,26.06,96,100,1.82,LA,1686614230
101,puerto natales,-51.7236,-72.4875,1.66,95,92,2.08,CL,1686614230
102,st. john's,47.5649,-52.7093,7.76,92,100,6.69,CA,1686613957
103,ponta delgada,37.7333,-25.6667,19.4,100,75,5.66,PT,1686614231
104,acarau,-2.8856,-40.12,25.87,82,0,5.7,BR,1686614083
105,boa vista,2.8197,-60.6733,26.99,78,40,2.06,BR,1686614231
106,bilibino,68.0546,166.4372,11.97,91,100,3.77,RU,1686614232
107,mermoz boabab,14.7065,-17.4758,27.31,89,0,5.14,SN,1686614232
108,antonio enes,-16.2325,39.9086,21.99,80,0,1.94,MZ,1686614232
109,kharkhorin,47.1975,102.8238,19.77,45,86,2.06,MN,1686614232
110,kashgar,39.4547,75.9797,27.56,19,0,3.0,CN,1686614233
111,yokadouma,3.5167,15.05,20.89,99,100,1.02,CM,1686614233
112,albany,42.6001,-73.9662,24.4,56,99,1.34,US,1686613970
113,kruisfontein,-34.0033,24.7314,11.05,66,100,5.17,ZA,1686614233
114,okha,53.5739,142.9478,7.11,92,100,3.44,RU,1686614004
115,arvayheer,46.2639,102.775,18.85,27,74,1.83,MN,1686614234
116,kingscliff,-28.2667,153.5667,21.54,78,11,1.54,AU,1686614234
117,nova sintra,14.8667,-24.7167,21.57,84,68,6.46,CV,1686614234
118,porto novo,6.4965,2.6036,26.9,80,88,2.65,BJ,1686614235
119,natal,-5.795,-35.2094,25.36,94,20,2.57,BR,1686614019
120,udachny,66.4167,112.4,13.03,37,25,6.75,RU,1686614235
121,cabo san lucas,22.8909,-109.9124,32.32,52,0,4.53,MX,1686614235
122,bongouanou,6.6486,-4.1992,20.31,99,34,0.73,CI,1686614237
123,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1686614237
124,constantia,44.1833,28.65,13.38,81,58,7.48,RO,1686614238
125,nkove,-7.95,30.85,23.76,53,73,2.19,TZ,1686614238
126,grytviken,-54.2811,-36.5092,-1.58,93,77,3.58,GS,1686614238
127,colonia,50.9333,6.95,20.13,48,0,2.06,DE,1686614214
128,zemio,5.0314,25.1361,20.31,98,56,1.76,CF,1686614239
129,boquira,-12.8231,-42.7306,22.13,50,6,1.77,BR,1686614239
130,blackmans bay,-43.0167,147.3167,8.07,88,72,2.81,AU,1686614239
131,qamdo,31.1667,97.2333,3.61,90,100,0.81,CN,1686614239
132,mirny,62.5353,113.9611,11.8,40,4,0.89,RU,1686614240
133,sarangpur,23.5667,76.4667,29.83,57,88,5.73,IN,1686614240
134,kuvandyk,51.4781,57.3552,12.05,82,99,9.42,RU,1686614240
135,ribeira grande,38.5167,-28.7,19.32,100,75,3.6,PT,1686614241
136,kodiak,57.79,-152.4072,11.73,54,75,5.14,US,1686614241
137,pathein,16.7833,94.7333,25.43,94,100,3.81,MM,1686614241
138,sitka,57.0531,-135.33,12.94,62,75,6.17,US,1686614241
139,mugia,43.1041,-9.2179,17.73,91,100,2.64,ES,1686614242
140,punta arenas,-53.15,-70.9167,6.06,70,20,11.83,CL,1686614242
141,mpongwe,-13.5091,28.155,14.93,53,33,2.0,ZM,1686614242
142,margaret river,-33.95,115.0667,15.11,72,97,6.7,AU,1686614243
143,ushuaia,-54.8,-68.3,4.81,75,40,13.38,AR,1686614243
144,yarkovo,57.4028,67.0786,5.73,69,23,1.83,RU,1686614243
145,thompson,55.7435,-97.8558,24.15,35,9,3.55,CA,1686614243
146,sinabang,2.4803,96.3801,26.7,79,85,0.23,ID,1686614244
147,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,37,0,1.0,RU,1686614244
148,dhidhdhoo,6.8833,73.1,28.8,78,88,8.33,MV,1686614244
149,vrede,-27.4257,29.1659,4.08,87,13,3.37,ZA,1686614245
150,tafuna,-14.3358,-170.72,27.8,77,34,7.69,AS,1686614245
151,ulladulla,-35.35,150.4667,15.63,60,71,4.69,AU,1686614245
152,nantucket,41.2835,-70.0995,21.08,88,100,6.17,US,1686613978
153,eastham,41.8301,-69.9739,20.09,77,40,3.09,US,1686614246
154,cacapava do sul,-30.5122,-53.4914,1.79,70,7,1.8,BR,1686614246
155,atafu village,-8.5421,-172.5159,28.7,75,51,6.4,TK,1686614246
156,meadow lakes,61.6247,-149.6011,12.62,70,100,1.54,US,1686614247
157,usogorsk,63.4106,48.6872,12.22,83,93,2.84,RU,1686614247
158,khandyga,62.6667,135.6,11.24,58,100,2.13,RU,1686614247
159,elko,41.0002,-115.5012,20.01,48,88,2.24,US,1686614247
160,sorong,-0.8833,131.25,26.36,82,98,1.96,ID,1686614137
161,oum hadjer,13.2954,19.6966,27.96,65,62,6.01,TD,1686614248
162,church hill,36.5223,-82.7135,22.43,70,94,3.91,US,1686614248
163,arba minch,6.0333,37.55,18.32,90,100,1.28,ET,1686614248
164,buulobarde,3.8538,45.5674,23.92,86,79,7.31,SO,1686614249
165,hithadhoo,-0.6,73.0833,28.61,71,77,3.92,MV,1686614249
166,abbeville,50.1,1.8333,13.47,89,45,1.31,FR,1686614249
167,enewetak,11.3474,162.3373,27.72,82,29,8.67,MH,1686613994
168,miringa,10.7312,12.1463,23.86,77,97,1.76,NG,1686614250
169,zhumadian,32.9794,114.0294,26.63,46,85,2.2,CN,1686614250
170,kratie,12.4881,106.0188,24.49,94,100,1.18,KH,1686614250
171,orsa,54.5153,30.4053,8.9,84,99,3.36,BY,1686614251
172,cafayate,-26.073,-65.9761,3.51,59,56,1.61,AR,1686614251
173,aykhal,66.0,111.5,12.15,43,20,7.36,RU,1686613980
174,kalmunai,7.4167,81.8167,26.32,83,95,3.26,LK,1686614029
175,faya-largeau,17.9257,19.1043,32.28,37,28,3.67,TD,1686614252
176,greenville,35.6127,-77.3663,22.97,96,100,3.6,US,1686614252
177,gadzhiyevo,69.2551,33.3362,9.8,79,100,5.3,RU,1686614252
178,kailua-kona,19.6406,-155.9956,27.98,86,40,5.14,US,1686614252
179,puerto ayacucho,5.6639,-67.6236,25.37,89,89,0.82,VE,1686614253
180,burao,9.5221,45.5336,23.54,62,85,8.04,SO,1686614253
181,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1686614253
182,port saint john's,-31.6229,29.5448,15.37,76,63,2.17,ZA,1686614253
183,koz'modem'yansk,56.3367,46.5711,5.82,84,0,2.38,RU,1686614254
184,marechal candido rondon,-24.5561,-54.0567,11.77,65,96,5.35,BR,1686613995
185,edson,53.5835,-116.4356,26.08,29,0,1.03,CA,1686614254
186,toliara,-23.35,43.6667,18.74,83,1,2.21,MG,1686614254
187,bodo,67.28,14.405,8.21,89,100,8.23,NO,1686614254
188,mata-utu,-13.2816,-176.1745,28.42,76,78,6.04,WF,1686614255
189,quiruvilca,-7.9667,-78.2,5.61,81,81,1.43,PE,1686614255
190,shimoda,34.6667,138.95,25.61,83,81,1.66,JP,1686614255
